,Unnamed: 0,time,row_384,column_384,rfu_value,RNAseT,standard_conc,replicate,reporter,reporter_conc,sample_set
374,374,00:50:00,L,5,1548.654,RNAseT_added,,a,DNA-RNA,5,H20
375,375,00:50:00,M,5,1595.761,RNAseT_added,,b,DNA-RNA,5,H20
376,376,00:50:00,N,5,26.498,RNAseT_added,,a,DNA-RNA,5,2XBB
377,377,00:50:00,O,5,35.331,RNAseT_added,,b,DNA-RNA,5,2XBB
378,378,00:50:00,J,7,1236.568,standard,1.25,a,standard,,standard
379,379,00:50:00,K,7,1124.688,standard,1.25,b,standard,,standard
380,380,00:50:00,L,7,385.691,RNAseT_added,,a,DNA-RNA,1.66,H20
381,381,00:50:00,M,7,500.515,RNAseT_added,,b,DNA-RNA,1.66,H20
382,382,00:50:00,N,7,29.442,RNAseT_added,,a,DNA-RNA,1.66,2XBB
383,383,00:50:00,O,7,32.386,RNAseT_added,,b,DNA-RNA,1.66,2XBB
384,384,00:50:00,J,9,615.34,standard,0.625,a,standard,,standard
385,385,00:50:00,K,9,568.232,standard,0.625,b,standard,,standard
386,386,00:50:00,L,9,132.489,RNAseT_added,,a,DNA-RNA,0.833,H20
387,387,00:50:00,M,9,105.992,RNAseT_added,,b,DNA-RNA,0.833,H20
388,388,00:50:00,N,9,29.442,RNAseT_added,,a,DNA-RNA,0.833,2XBB
389,389,00:50:00,O,9,35.331,RNAseT_added,,b,DNA-RNA,0.833,2XBB
390,390,00:50:00,J,11,329.751,standard,0.3125,a,standard,,standard
391,391,00:50:00,K,11,382.747,standard,0.3125,b,standard,,standard
392,392,00:50:00,L,11,11.777,RNAseT_added,,a,DNA-RNA,0,H20
393,393,00:50:00,M,11,32.386,RNAseT_added,,b,DNA-RNA,0,H20
394,394,00:50:00,N,11,26.498,RNAseT_added,,a,DNA-RNA,0,2XBB
395,395,00:50:00,O,11,38.275,RNAseT_added,,b,DNA-RNA,0,2XBB
396,396,00:50:00,J,13,211.983,standard,0.15625,a,standard,,standard
397,397,00:50:00,K,13,211.983,standard,0.15625,b,standard,,standard
398,398,00:50:00,L,13,29.442,no_RNAseT,,a,DNA-RNA,45,H20
399,399,00:50:00,M,13,38.275,no_RNAseT,,b,DNA-RNA,45,H20
400,400,00:50:00,N,13,44.163,no_RNAseT,,a,DNA-RNA,45,2XBB
401,401,00:50:00,O,13,17.665,no_RNAseT,,b,DNA-RNA,45,2XBB
402,402,00:50:00,J,15,200.206,standard,0.078125,a,standard,,standard
403,403,00:50:00,K,15,209.039,standard,0.078125,b,standard,,standard
404,404,00:50:00,L,15,123.657,RNAseT_added,,a,RNA,45,H20
405,405,00:50:00,M,15,103.047,RNAseT_added,,b,RNA,45,H20
406,406,00:50:00,N,15,1268.954,RNAseT_added,,a,DNA-RNA,5,DNAse1
407,407,00:50:00,O,15,1009.864,RNAseT_added,,b,DNA-RNA,5,DNAse1
408,408,00:50:00,J,17,170.764,standard,0.0390625,a,standard,,standard
409,409,00:50:00,K,17,144.266,standard,0.0390625,b,standard,,standard
410,410,00:50:00,L,17,44.163,,,a,,,
411,411,00:50:00,M,17,55.94,,,b,,,
412,412,00:50:00,N,17,41.219,,,a,,,
413,413,00:50:00,O,17,35.331,,,b,,,
414,414,00:50:00,J,19,126.601,standard,0.0195312,a,standard,,standard
415,415,00:50:00,K,19,129.545,standard,0.0195312,b,standard,,standard
416,416,00:50:00,L,19,32.386,,,a,,,
417,417,00:50:00,M,19,23.554,,,b,,,
418,418,00:50:00,N,19,50.052,,,a,,,
419,419,00:50:00,O,19,35.331,,,b,,,
420,420,00:50:00,J,21,235.537,standard,0.0097656,a,standard,,standard
421,421,00:50:00,K,21,214.927,standard,0.0097656,b,standard,,standard
422,422,00:50:00,L,21,35.331,,,a,,,
423,423,00:50:00,M,21,20.609,,,b,,,
424,424,00:50:00,N,21,38.275,,,a,,,
425,425,00:50:00,O,21,23.554,,,b,,,
426,426,00:50:00,J,23,126.601,standard,0,a,standard,,standard
427,427,00:50:00,K,23,105.992,standard,0,b,standard,,standard
428,428,00:50:00,L,23,44.163,,,a,,,
429,429,00:50:00,M,23,20.609,,,b,,,
430,430,00:50:00,N,23,23.554,,,a,,,
431,431,00:50:00,O,23,17.665,,,b,,,
432,432,01:00:00,J,1,5737.7040000000015,standard,10,a,standard,,standard
433,433,01:00:00,K,1,5302.004,standard,10,b,standard,,standard
434,434,01:00:00,L,1,5446.2559999999985,RNAseT_added,,a,DNA-RNA,45,H20
435,435,01:00:00,M,1,5081.209,RNAseT_added,,b,DNA-RNA,45,H20
436,436,01:00:00,N,1,135.42,RNAseT_added,,a,DNA-RNA,45,2XBB
437,437,01:00:00,O,1,103.037,RNAseT_added,,b,DNA-RNA,45,2XBB
438,438,01:00:00,J,3,3250.09,standard,5,a,standard,,standard
439,439,01:00:00,K,3,3182.38,standard,5,b,standard,,standard
440,440,01:00:00,L,3,3214.763,RNAseT_added,,a,DNA-RNA,15,H20
441,441,01:00:00,M,3,2837.941,RNAseT_added,,b,DNA-RNA,15,H20
442,442,01:00:00,N,3,32.383,RNAseT_added,,a,DNA-RNA,15,2XBB
443,443,01:00:00,O,3,26.495,RNAseT_added,,b,DNA-RNA,15,2XBB
444,444,01:00:00,J,5,1863.503,standard,2.5,a,standard,,standard
445,445,01:00:00,K,5,1828.176,standard,2.5,b,standard,,standard
446,446,01:00:00,L,5,1460.185,RNAseT_added,,a,DNA-RNA,5,H20
447,447,01:00:00,M,5,1507.2879999999998,RNAseT_added,,b,DNA-RNA,5,H20
448,448,01:00:00,N,5,38.271,RNAseT_added,,a,DNA-RNA,5,2XBB
449,449,01:00:00,O,5,44.159,RNAseT_added,,b,DNA-RNA,5,2XBB
450,450,01:00:00,J,7,1207.008,standard,1.25,a,standard,,standard
451,451,01:00:00,K,7,1183.457,standard,1.25,b,standard,,standard
452,452,01:00:00,L,7,388.598,RNAseT_added,,a,DNA-RNA,1.66,H20
453,453,01:00:00,M,7,482.80300000000005,RNAseT_added,,b,DNA-RNA,1.66,H20
454,454,01:00:00,N,7,23.551,RNAseT_added,,a,DNA-RNA,1.66,2XBB
455,455,01:00:00,O,7,14.72,RNAseT_added,,b,DNA-RNA,1.66,2XBB
456,456,01:00:00,J,9,674.158,standard,0.625,a,standard,,standard
457,457,01:00:00,K,9,615.28,standard,0.625,b,standard,,standard
458,458,01:00:00,L,9,120.701,RNAseT_added,,a,DNA-RNA,0.833,H20
459,459,01:00:00,M,9,126.589,RNAseT_added,,b,DNA-RNA,0.833,H20
460,460,01:00:00,N,9,32.383,RNAseT_added,,a,DNA-RNA,0.833,2XBB
461,461,01:00:00,O,9,20.607,RNAseT_added,,b,DNA-RNA,0.833,2XBB
462,462,01:00:00,J,11,359.158,standard,0.3125,a,standard,,standard
463,463,01:00:00,K,11,329.719,standard,0.3125,b,standard,,standard
464,464,01:00:00,L,11,35.327,RNAseT_added,,a,DNA-RNA,0,H20
465,465,01:00:00,M,11,41.215,RNAseT_added,,b,DNA-RNA,0,H20
466,466,01:00:00,N,11,38.271,RNAseT_added,,a,DNA-RNA,0,2XBB
467,467,01:00:00,O,11,23.551,RNAseT_added,,b,DNA-RNA,0,2XBB
468,468,01:00:00,J,13,223.738,standard,0.15625,a,standard,,standard
469,469,01:00:00,K,13,270.841,standard,0.15625,b,standard,,standard
470,470,01:00:00,L,13,26.495,no_RNAseT,,a,DNA-RNA,45,H20
471,471,01:00:00,M,13,32.383,no_RNAseT,,b,DNA-RNA,45,H20
472,472,01:00:00,N,13,29.439,no_RNAseT,,a,DNA-RNA,45,2XBB
473,473,01:00:00,O,13,29.439,no_RNAseT,,b,DNA-RNA,45,2XBB
474,474,01:00:00,J,15,200.187,standard,0.078125,a,standard,,standard
475,475,01:00:00,K,15,217.85,standard,0.078125,b,standard,,standard
476,476,01:00:00,L,15,111.869,RNAseT_added,,a,RNA,45,H20
477,477,01:00:00,M,15,94.206,RNAseT_added,,b,RNA,45,H20
478,478,01:00:00,N,15,1204.064,RNAseT_added,,a,DNA-RNA,5,DNAse1
479,479,01:00:00,O,15,1045.092,RNAseT_added,,b,DNA-RNA,5,DNAse1
480,480,01:00:00,J,17,138.364,standard,0.0390625,a,standard,,standard
481,481,01:00:00,K,17,173.69099999999997,standard,0.0390625,b,standard,,standard
482,482,01:00:00,L,17,32.383,,,a,,,
483,483,01:00:00,M,17,47.103,,,b,,,
484,484,01:00:00,N,17,29.439,,,a,,,
485,485,01:00:00,O,17,17.664,,,b,,,
486,486,01:00:00,J,19,144.252,standard,0.0195312,a,standard,,standard
487,487,01:00:00,K,19,170.747,standard,0.0195312,b,standard,,standard
488,488,01:00:00,L,19,14.72,,,a,,,
489,489,01:00:00,M,19,23.551,,,b,,,
490,490,01:00:00,N,19,20.607,,,a,,,
491,491,01:00:00,O,19,41.215,,,b,,,
492,492,01:00:00,J,21,226.682,standard,0.0097656,a,standard,,standard
493,493,01:00:00,K,21,217.85,standard,0.0097656,b,standard,,standard
494,494,01:00:00,L,21,23.551,,,a,,,
495,495,01:00:00,M,21,29.439,,,b,,,
496,496,01:00:00,N,21,11.776,,,a,,,
497,497,01:00:00,O,21,32.383,,,b,,,
498,498,01:00:00,J,23,144.252,standard,0,a,standard,,standard
499,499,01:00:00,K,23,123.645,standard,0,b,standard,,standard
500,500,01:00:00,L,23,32.383,,,a,,,
501,501,01:00:00,M,23,32.383,,,b,,,
502,502,01:00:00,N,23,32.383,,,a,,,
503,503,01:00:00,O,23,47.103,,,b,,,
