,Unnamed: 0,time,row_384,column_384,rfu_value,RNAseT,standard_conc,replicate,reporter,degradation_method
363,363,01:00:00,H,1,57.631,RNAseT_added,,a,RNA,heat-DNAse1-buffer
364,364,01:00:00,I,1,5.763,no_RNAse_T,,a,DNA-RNA,DNAse1
365,365,01:00:00,E,3,3809.412,standard,5,a,standard,standard
366,366,01:00:00,F,3,3688.387,standard,5,b,standard,standard
367,367,01:00:00,G,3,89.32799999999997,RNAseT_added,,b,DNA-RNA,heat
368,368,01:00:00,H,3,72.039,RNAseT_added,,b,RNA,heat-DNAse1-buffer
369,369,01:00:00,I,3,8.645,no_RNAse_T,,b,DNA-RNA,DNAse1
370,370,01:00:00,E,5,1826.904,standard,2.5,a,standard,standard
371,371,01:00:00,F,5,1904.706,standard,2.5,b,standard,standard
372,372,01:00:00,G,5,1365.856,RNAseT_added,,a,DNA-RNA,DNAse1
373,373,01:00:00,H,5,77.80199999999998,RNAseT_added,,a,RNA,heat-RNAse1-buffer
374,374,01:00:00,I,5,5.763,no_RNAse_T,,a,DNA-RNA,RNAseH
375,375,01:00:00,E,7,875.992,standard,1.25,a,standard,standard
376,376,01:00:00,F,7,942.268,standard,1.25,b,standard,standard
377,377,01:00:00,G,7,1083.464,RNAseT_added,,b,DNA-RNA,DNAse1
378,378,01:00:00,H,7,66.27600000000001,RNAseT_added,,b,RNA,heat-RNAse1-buffer
379,379,01:00:00,I,7,5.763,no_RNAse_T,,b,DNA-RNA,RNAseH
380,380,01:00:00,E,9,391.891,standard,0.625,a,standard,standard
381,381,01:00:00,F,9,521.561,standard,0.625,b,standard,standard
382,382,01:00:00,G,9,17.289,RNAseT_added,,a,DNA-RNA,RNAseH
383,383,01:00:00,H,9,2.882,RNAseT_added,,a,RNA,DNAse1
384,384,01:00:00,I,9,0.0,no_RNAse_T,,a,DNA-RNA,none
385,385,01:00:00,E,11,242.05,standard,0.3125,a,standard,standard
386,386,01:00:00,F,11,239.169,standard,0.3125,b,standard,standard
387,387,01:00:00,G,11,17.289,RNAseT_added,,b,DNA-RNA,RNAseH
388,388,01:00:00,H,11,2.882,RNAseT_added,,b,RNA,DNAse1
389,389,01:00:00,I,11,2.882,no_RNAse_T,,b,DNA-RNA,none
390,390,01:00:00,E,13,95.091,standard,0.15625,a,standard,standard
391,391,01:00:00,F,13,126.788,standard,0.15625,b,standard,standard
392,392,01:00:00,G,13,1115.161,RNAseT_added,,a,DNA-RNA,none
393,393,01:00:00,H,13,2.882,RNAseT_added,,a,RNA,RNAseH
394,394,01:00:00,I,13,2.882,no_RNAse_T,,a,RNA,DNAse1
395,395,01:00:00,E,15,100.854,standard,0.078125,a,standard,standard
396,396,01:00:00,F,15,123.907,standard,0.078125,b,standard,standard
397,397,01:00:00,G,15,884.637,RNAseT_added,,b,DNA-RNA,none
398,398,01:00:00,H,15,8.645,RNAseT_added,,b,RNA,RNAseH
399,399,01:00:00,I,15,2.882,no_RNAse_T,,b,RNA,DNAse1
400,400,01:00:00,E,17,80.683,standard,0.0390625,a,standard,standard
401,401,01:00:00,F,17,83.565,standard,0.0390625,b,standard,standard
402,402,01:00:00,G,17,8.645,RNAseT_added,,a,RNA,none
403,403,01:00:00,H,17,5.763,RNAseT_added,,a,H20,DNAse1
404,404,01:00:00,I,17,0.0,no_RNAse_T,,a,RNA,RNAseH
405,405,01:00:00,E,19,74.92,standard,0.0195312,a,standard,standard
406,406,01:00:00,F,19,72.039,standard,0.0195312,b,standard,standard
407,407,01:00:00,G,19,8.645,RNAseT_added,,b,RNA,none
408,408,01:00:00,H,19,2.882,RNAseT_added,,b,H20,DNAse1
409,409,01:00:00,I,19,5.763,no_RNAse_T,,b,RNA,RNAseH
410,410,01:00:00,E,21,83.565,standard,0.0097656,a,standard,standard
411,411,01:00:00,F,21,63.394,standard,0.0097656,b,standard,standard
412,412,01:00:00,G,21,69.157,RNAseT_added,,a,RNA,heat
413,413,01:00:00,H,21,5.763,RNAseT_added,,a,H20,RNAseH
414,414,01:00:00,I,21,5.763,no_RNAse_T,,a,RNA,none
415,415,01:00:00,E,23,92.21,standard,0,a,standard,standard
416,416,01:00:00,F,23,66.27600000000001,standard,0,b,standard,standard
417,417,01:00:00,G,23,69.157,RNAseT_added,,b,RNA,heat
418,418,01:00:00,H,23,5.763,RNAseT_added,,b,H20,RNAseH
419,419,01:00:00,I,23,2.882,no_RNAse_T,,b,RNA,none
