,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,gRNA_description,replicate
382,382,00:30:00,G,23,73.08,standard,0,standard,standard,c
383,383,00:30:00,H,23,11.693,no_sample,,,,d
384,384,00:40:00,A,1,1844.721,target_added,,G8,guide with 5As before 2Cs,a
385,385,00:40:00,B,1,17.541,no_RNAse,,G8,guide with 5As before 2Cs,a
386,386,00:40:00,C,1,1719.011,no_target,,G8,guide with 5As before 2Cs,a
387,387,00:40:00,D,1,14.617,no_gRNA,,G8,guide with 5As before 2Cs,a
388,388,00:40:00,E,1,6297.195,standard,10,standard,standard,a
389,389,00:40:00,F,1,6115.939,standard,10,standard,standard,b
390,390,00:40:00,G,1,6253.343000000002,standard,10,standard,standard,c
391,391,00:40:00,H,1,8.77,degraded_target,,,,d
392,392,00:40:00,A,3,1604.995,target_added,,H6,guide with 2Cs,a
393,393,00:40:00,B,3,35.082,no_RNAse,,H6,guide with 2Cs,a
394,394,00:40:00,C,3,1385.734,no_target,,H6,guide with 2Cs,a
395,395,00:40:00,D,3,11.694,no_gRNA,,H6,guide with 2Cs,a
396,396,00:40:00,E,3,3929.169,standard,5,standard,standard,a
397,397,00:40:00,F,3,4092.884,standard,5,standard,standard,b
398,398,00:40:00,G,3,4043.185,standard,5,standard,standard,c
399,399,00:40:00,H,3,2.923,degraded_target,,,,d
400,400,00:40:00,A,5,815.653,target_added,,C4,guide with 3Cs,a
401,401,00:40:00,B,5,26.311,no_RNAse,,C4,guide with 3Cs,a
402,402,00:40:00,C,5,809.806,no_target,,C4,guide with 3Cs,a
403,403,00:40:00,D,5,14.617,no_gRNA,,C4,guide with 3Cs,a
404,404,00:40:00,E,5,2306.633,standard,2.5,standard,standard,a
405,405,00:40:00,F,5,2432.343,standard,2.5,standard,standard,b
406,406,00:40:00,G,5,2216.004,standard,2.5,standard,standard,c
407,407,00:40:00,H,5,8.77,no_sample,,,,d
408,408,00:40:00,A,7,1707.318,target_added,,D9,guide with 3Cs,a
409,409,00:40:00,B,7,23.388,no_RNAse,,D9,guide with 3Cs,a
410,410,00:40:00,C,7,1488.056,no_target,,D9,guide with 3Cs,a
411,411,00:40:00,D,7,8.77,no_gRNA,,D9,guide with 3Cs,a
412,412,00:40:00,E,7,1008.604,standard,1.25,standard,standard,a
413,413,00:40:00,F,7,1029.068,standard,1.25,standard,standard,b
414,414,00:40:00,G,7,1049.532,standard,1.25,standard,standard,c
415,415,00:40:00,H,7,8.77,no_sample,,,,d
416,416,00:40:00,A,9,631.474,target_added,,C11,IVT guide,a
417,417,00:40:00,B,9,17.541,no_RNAse,,C11,IVT guide,a
418,418,00:40:00,C,9,637.321,no_target,,C11,IVT guide,a
419,419,00:40:00,D,9,0.0,no_gRNA,,C11,IVT guide,a
420,420,00:40:00,E,9,514.534,standard,0.625,standard,standard,a
421,421,00:40:00,F,9,485.299,standard,0.625,standard,standard,b
422,422,00:40:00,G,9,453.141,standard,0.625,standard,standard,c
423,423,00:40:00,H,9,2.923,no_sample,,,,d
424,424,00:40:00,A,11,2.923,target_added,,C11_syn,synthetic guide,a
425,425,00:40:00,B,11,0.0,no_RNAse,,C11_syn,synthetic guide,a
426,426,00:40:00,C,11,11.694,no_target,,C11_syn,synthetic guide,a
427,427,00:40:00,D,11,5.847,no_gRNA,,C11_syn,synthetic guide,a
428,428,00:40:00,E,11,251.42,standard,0.3125,standard,standard,a
429,429,00:40:00,F,11,233.879,standard,0.3125,standard,standard,b
430,430,00:40:00,G,11,301.119,standard,0.3125,standard,standard,c
431,431,00:40:00,H,11,2.923,no_sample,,,,d
432,432,00:40:00,A,13,4013.95,target_added,,G8,guide with 5As before 2Cs,b
433,433,00:40:00,B,13,23.388,no_RNAse,,G8,guide with 5As before 2Cs,b
434,434,00:40:00,C,13,2172.152,no_target,,G8,guide with 5As before 2Cs,b
435,435,00:40:00,D,13,2.923,no_gRNA,,G8,guide with 5As before 2Cs,b
436,436,00:40:00,E,13,172.486,standard,0.15625,standard,standard,a
437,437,00:40:00,F,13,192.95,standard,0.15625,standard,standard,b
438,438,00:40:00,G,13,149.09799999999996,standard,0.15625,standard,standard,c
439,439,00:40:00,H,13,2.923,no_sample,,,,d
440,440,00:40:00,A,15,2081.524,target_added,,H6,guide with 2Cs,b
441,441,00:40:00,B,15,26.311,no_RNAse,,H6,guide with 2Cs,b
442,442,00:40:00,C,15,1745.323,no_target,,H6,guide with 2Cs,b
443,443,00:40:00,D,15,11.694,no_gRNA,,H6,guide with 2Cs,b
444,444,00:40:00,E,15,93.552,standard,0.078125,standard,standard,a
445,445,00:40:00,F,15,116.94,standard,0.078125,standard,standard,b
446,446,00:40:00,G,15,90.628,standard,0.078125,standard,standard,c
447,447,00:40:00,H,15,2.923,no_sample,,,,d
448,448,00:40:00,A,17,1046.609,target_added,,C4,guide with 3Cs,b
449,449,00:40:00,B,17,5.847,no_RNAse,,C4,guide with 3Cs,b
450,450,00:40:00,C,17,935.516,no_target,,C4,guide with 3Cs,b
451,451,00:40:00,D,17,5.847,no_gRNA,,C4,guide with 3Cs,b
452,452,00:40:00,E,17,78.934,standard,0.0390625,standard,standard,a
453,453,00:40:00,F,17,76.01100000000002,standard,0.0390625,standard,standard,b
454,454,00:40:00,G,17,96.475,standard,0.0390625,standard,standard,c
455,455,00:40:00,H,17,5.847,no_sample,,,,d
456,456,00:40:00,A,19,2914.719,target_added,,D9,guide with 3Cs,b
457,457,00:40:00,B,19,8.77,no_RNAse,,D9,guide with 3Cs,b
458,458,00:40:00,C,19,1610.842,no_target,,D9,guide with 3Cs,b
459,459,00:40:00,D,19,11.694,no_gRNA,,D9,guide with 3Cs,b
460,460,00:40:00,E,19,67.24,standard,0.0195312,standard,standard,a
461,461,00:40:00,F,19,84.781,standard,0.0195312,standard,standard,b
462,462,00:40:00,G,19,102.322,standard,0.0195312,standard,standard,c
463,463,00:40:00,H,19,11.694,no_sample,,,,d
464,464,00:40:00,A,21,684.096,target_added,,C11,IVT guide,b
465,465,00:40:00,B,21,5.847,no_RNAse,,C11,IVT guide,b
466,466,00:40:00,C,21,722.102,no_target,,C11,IVT guide,b
467,467,00:40:00,D,21,5.847,no_gRNA,,C11,IVT guide,b
468,468,00:40:00,E,21,93.552,standard,0.0097656,standard,standard,a
469,469,00:40:00,F,21,67.24,standard,0.0097656,standard,standard,b
470,470,00:40:00,G,21,114.016,standard,0.0097656,standard,standard,c
471,471,00:40:00,H,21,8.77,no_sample,,,,d
472,472,00:40:00,A,23,8.77,target_added,,C11_syn,synthetic guide,b
473,473,00:40:00,B,23,5.847,no_RNAse,,C11_syn,synthetic guide,b
474,474,00:40:00,C,23,2.923,no_target,,C11_syn,synthetic guide,b
475,475,00:40:00,D,23,5.847,no_gRNA,,C11_syn,synthetic guide,b
476,476,00:40:00,E,23,81.858,standard,0,standard,standard,a
477,477,00:40:00,F,23,84.781,standard,0,standard,standard,b
478,478,00:40:00,G,23,81.858,standard,0,standard,standard,c
479,479,00:40:00,H,23,2.923,no_sample,,,,d
480,480,00:50:00,A,1,1888.249,target_added,,G8,guide with 5As before 2Cs,a
481,481,00:50:00,B,1,17.511,no_RNAse,,G8,guide with 5As before 2Cs,a
482,482,00:50:00,C,1,1806.532,no_target,,G8,guide with 5As before 2Cs,a
483,483,00:50:00,D,1,11.674,no_gRNA,,G8,guide with 5As before 2Cs,a
484,484,00:50:00,E,1,6128.785,standard,10,standard,standard,a
485,485,00:50:00,F,1,5816.509,standard,10,standard,standard,b
486,486,00:50:00,G,1,5618.053000000001,standard,10,standard,standard,c
487,487,00:50:00,H,1,8.755,degraded_target,,,,d
488,488,00:50:00,A,3,1310.393,target_added,,H6,guide with 2Cs,a
489,489,00:50:00,B,3,14.592,no_RNAse,,H6,guide with 2Cs,a
490,490,00:50:00,C,3,1354.17,no_target,,H6,guide with 2Cs,a
491,491,00:50:00,D,3,14.592,no_gRNA,,H6,guide with 2Cs,a
492,492,00:50:00,E,3,3665.597,standard,5,standard,standard,a
493,493,00:50:00,F,3,3951.607,standard,5,standard,standard,b
494,494,00:50:00,G,3,3615.983,standard,5,standard,standard,c
495,495,00:50:00,H,3,2.918,degraded_target,,,,d
496,496,00:50:00,A,5,805.497,target_added,,C4,guide with 3Cs,a
497,497,00:50:00,B,5,14.592,no_RNAse,,C4,guide with 3Cs,a
498,498,00:50:00,C,5,825.927,no_target,,C4,guide with 3Cs,a
499,499,00:50:00,D,5,2.918,no_gRNA,,C4,guide with 3Cs,a
500,500,00:50:00,E,5,2110.053,standard,2.5,standard,standard,a
501,501,00:50:00,F,5,2215.118,standard,2.5,standard,standard,b
502,502,00:50:00,G,5,2183.015,standard,2.5,standard,standard,c
503,503,00:50:00,H,5,2.918,no_sample,,,,d
504,504,00:50:00,A,7,1844.472,target_added,,D9,guide with 3Cs,a
505,505,00:50:00,B,7,17.511,no_RNAse,,D9,guide with 3Cs,a
506,506,00:50:00,C,7,1540.9520000000002,no_target,,D9,guide with 3Cs,a
507,507,00:50:00,D,7,8.755,no_gRNA,,D9,guide with 3Cs,a
508,508,00:50:00,E,7,968.932,standard,1.25,standard,standard,a
509,509,00:50:00,F,7,1085.67,standard,1.25,standard,standard,b
510,510,00:50:00,G,7,1076.915,standard,1.25,standard,standard,c
511,511,00:50:00,H,7,11.674,no_sample,,,,d
512,512,00:50:00,A,9,755.883,target_added,,C11,IVT guide,a
513,513,00:50:00,B,9,20.429,no_RNAse,,C11,IVT guide,a
514,514,00:50:00,C,9,697.5139999999999,no_target,,C11,IVT guide,a
515,515,00:50:00,D,9,8.755,no_gRNA,,C11,IVT guide,a
516,516,00:50:00,E,9,493.221,standard,0.625,standard,standard,a
517,517,00:50:00,F,9,469.874,standard,0.625,standard,standard,b
518,518,00:50:00,G,9,437.77,standard,0.625,standard,standard,c
519,519,00:50:00,H,9,8.755,no_sample,,,,d
520,520,00:50:00,A,11,5.8370000000000015,target_added,,C11_syn,synthetic guide,a
521,521,00:50:00,B,11,5.8370000000000015,no_RNAse,,C11_syn,synthetic guide,a
522,522,00:50:00,C,11,8.755,no_target,,C11_syn,synthetic guide,a
523,523,00:50:00,D,11,8.755,no_gRNA,,C11_syn,synthetic guide,a
524,524,00:50:00,E,11,256.825,standard,0.3125,standard,standard,a
525,525,00:50:00,F,11,274.336,standard,0.3125,standard,standard,b
526,526,00:50:00,G,11,268.499,standard,0.3125,standard,standard,c
527,527,00:50:00,H,11,2.918,no_sample,,,,d
528,528,00:50:00,A,13,3796.928,target_added,,G8,guide with 5As before 2Cs,b
529,529,00:50:00,B,13,20.429,no_RNAse,,G8,guide with 5As before 2Cs,b
530,530,00:50:00,C,13,2139.238,no_target,,G8,guide with 5As before 2Cs,b
531,531,00:50:00,D,13,2.918,no_gRNA,,G8,guide with 5As before 2Cs,b
532,532,00:50:00,E,13,183.864,standard,0.15625,standard,standard,a
533,533,00:50:00,F,13,230.55900000000003,standard,0.15625,standard,standard,b
534,534,00:50:00,G,13,140.08700000000002,standard,0.15625,standard,standard,c
535,535,00:50:00,H,13,5.8370000000000015,no_sample,,,,d
536,536,00:50:00,A,15,1937.863,target_added,,H6,guide with 2Cs,b
537,537,00:50:00,B,15,11.674,no_RNAse,,H6,guide with 2Cs,b
538,538,00:50:00,C,15,1879.494,no_target,,H6,guide with 2Cs,b
539,539,00:50:00,D,15,2.918,no_gRNA,,H6,guide with 2Cs,b
540,540,00:50:00,E,15,116.739,standard,0.078125,standard,standard,a
541,541,00:50:00,F,15,131.33100000000002,standard,0.078125,standard,standard,b
542,542,00:50:00,G,15,93.391,standard,0.078125,standard,standard,c
543,543,00:50:00,H,15,5.8370000000000015,no_sample,,,,d
544,544,00:50:00,A,17,1097.344,target_added,,C4,guide with 3Cs,b
545,545,00:50:00,B,17,11.674,no_RNAse,,C4,guide with 3Cs,b
546,546,00:50:00,C,17,1076.915,no_target,,C4,guide with 3Cs,b
547,547,00:50:00,D,17,5.8370000000000015,no_gRNA,,C4,guide with 3Cs,b
548,548,00:50:00,E,17,125.494,standard,0.0390625,standard,standard,a
549,549,00:50:00,F,17,64.206,standard,0.0390625,standard,standard,b
550,550,00:50:00,G,17,119.657,standard,0.0390625,standard,standard,c
551,551,00:50:00,H,17,0.0,no_sample,,,,d
552,552,00:50:00,A,19,2895.121,target_added,,D9,guide with 3Cs,b
553,553,00:50:00,B,19,8.755,no_RNAse,,D9,guide with 3Cs,b
554,554,00:50:00,C,19,1570.136,no_target,,D9,guide with 3Cs,b
555,555,00:50:00,D,19,2.918,no_gRNA,,D9,guide with 3Cs,b
556,556,00:50:00,E,19,72.962,standard,0.0195312,standard,standard,a
557,557,00:50:00,F,19,107.983,standard,0.0195312,standard,standard,b
558,558,00:50:00,G,19,99.228,standard,0.0195312,standard,standard,c
559,559,00:50:00,H,19,0.0,no_sample,,,,d
560,560,00:50:00,A,21,805.497,target_added,,C11,IVT guide,b
561,561,00:50:00,B,21,11.674,no_RNAse,,C11,IVT guide,b
562,562,00:50:00,C,21,773.3939999999999,no_target,,C11,IVT guide,b
563,563,00:50:00,D,21,2.918,no_gRNA,,C11,IVT guide,b
564,564,00:50:00,E,21,81.717,standard,0.0097656,standard,standard,a
565,565,00:50:00,F,21,102.146,standard,0.0097656,standard,standard,b
566,566,00:50:00,G,21,140.08700000000002,standard,0.0097656,standard,standard,c
567,567,00:50:00,H,21,0.0,no_sample,,,,d
568,568,00:50:00,A,23,0.0,target_added,,C11_syn,synthetic guide,b
569,569,00:50:00,B,23,0.0,no_RNAse,,C11_syn,synthetic guide,b
570,570,00:50:00,C,23,17.511,no_target,,C11_syn,synthetic guide,b
571,571,00:50:00,D,23,0.0,no_gRNA,,C11_syn,synthetic guide,b
572,572,00:50:00,E,23,75.88,standard,0,standard,standard,a
573,573,00:50:00,F,23,70.043,standard,0,standard,standard,b
574,574,00:50:00,G,23,87.554,standard,0,standard,standard,c
575,575,00:50:00,H,23,2.918,no_sample,,,,d
576,576,01:00:00,A,1,1891.252,target_added,,G8,guide with 5As before 2Cs,a
577,577,01:00:00,B,1,11.692,no_RNAse,,G8,guide with 5As before 2Cs,a
578,578,01:00:00,C,1,1666.1729999999998,no_target,,G8,guide with 5As before 2Cs,a
579,579,01:00:00,D,1,2.923,no_gRNA,,G8,guide with 5As before 2Cs,a
580,580,01:00:00,E,1,5609.448,standard,10,standard,standard,a
581,581,01:00:00,F,1,5489.601,standard,10,standard,standard,b
582,582,01:00:00,G,1,5632.833000000001,standard,10,standard,standard,c
583,583,01:00:00,H,1,2.923,degraded_target,,,,d
584,584,01:00:00,A,3,1534.6329999999996,target_added,,H6,guide with 2Cs,a
585,585,01:00:00,B,3,11.692,no_RNAse,,H6,guide with 2Cs,a
586,586,01:00:00,C,3,1300.784,no_target,,H6,guide with 2Cs,a
587,587,01:00:00,D,3,17.539,no_gRNA,,H6,guide with 2Cs,a
588,588,01:00:00,E,3,3504.809,standard,5,standard,standard,a
589,589,01:00:00,F,3,3548.655,standard,5,standard,standard,b
590,590,01:00:00,G,3,3668.503,standard,5,standard,standard,c
591,591,01:00:00,H,3,11.692,degraded_target,,,,d
592,592,01:00:00,A,5,941.241,target_added,,C4,guide with 3Cs,a
593,593,01:00:00,B,5,11.692,no_RNAse,,C4,guide with 3Cs,a
594,594,01:00:00,C,5,827.24,no_target,,C4,guide with 3Cs,a
595,595,01:00:00,D,5,11.692,no_gRNA,,C4,guide with 3Cs,a
596,596,01:00:00,E,5,2145.563,standard,2.5,standard,standard,a
597,597,01:00:00,F,5,2119.255,standard,2.5,standard,standard,b
598,598,01:00:00,G,5,2160.178,standard,2.5,standard,standard,c
599,599,01:00:00,H,5,5.846,no_sample,,,,d
600,600,01:00:00,A,7,1818.174,target_added,,D9,guide with 3Cs,a
601,601,01:00:00,B,7,26.308000000000003,no_RNAse,,D9,guide with 3Cs,a
602,602,01:00:00,C,7,1572.6329999999996,no_target,,D9,guide with 3Cs,a
603,603,01:00:00,D,7,11.692,no_gRNA,,D9,guide with 3Cs,a
604,604,01:00:00,E,7,1008.473,standard,1.25,standard,standard,a
605,605,01:00:00,F,7,1046.473,standard,1.25,standard,standard,b
606,606,01:00:00,G,7,1049.396,standard,1.25,standard,standard,c
607,607,01:00:00,H,7,2.923,no_sample,,,,d
608,608,01:00:00,A,9,631.3919999999998,target_added,,C11,IVT guide,a
609,609,01:00:00,B,9,20.462,no_RNAse,,C11,IVT guide,a
610,610,01:00:00,C,9,657.7,no_target,,C11,IVT guide,a
611,611,01:00:00,D,9,8.769,no_gRNA,,C11,IVT guide,a
612,612,01:00:00,E,9,634.315,standard,0.625,standard,standard,a
613,613,01:00:00,F,9,502.775,standard,0.625,standard,standard,b
614,614,01:00:00,G,9,479.39,standard,0.625,standard,standard,c
615,615,01:00:00,H,9,0.0,no_sample,,,,d
616,616,01:00:00,A,11,2.923,target_added,,C11_syn,synthetic guide,a
617,617,01:00:00,B,11,2.923,no_RNAse,,C11_syn,synthetic guide,a
618,618,01:00:00,C,11,5.846,no_target,,C11_syn,synthetic guide,a
619,619,01:00:00,D,11,2.923,no_gRNA,,C11_syn,synthetic guide,a
620,620,01:00:00,E,11,260.157,standard,0.3125,standard,standard,a
621,621,01:00:00,F,11,277.695,standard,0.3125,standard,standard,b
622,622,01:00:00,G,11,268.926,standard,0.3125,standard,standard,c
623,623,01:00:00,H,11,5.846,no_sample,,,,d
624,624,01:00:00,A,13,3645.118,target_added,,G8,guide with 5As before 2Cs,b
625,625,01:00:00,B,13,14.616,no_RNAse,,G8,guide with 5As before 2Cs,b
626,626,01:00:00,C,13,2075.408,no_target,,G8,guide with 5As before 2Cs,b
627,627,01:00:00,D,13,5.846,no_gRNA,,G8,guide with 5As before 2Cs,b
628,628,01:00:00,E,13,207.541,standard,0.15625,standard,standard,a
629,629,01:00:00,F,13,219.233,standard,0.15625,standard,standard,b
630,630,01:00:00,G,13,181.233,standard,0.15625,standard,standard,c
631,631,01:00:00,H,13,5.846,no_sample,,,,d
632,632,01:00:00,A,15,2002.33,target_added,,H6,guide with 2Cs,b
633,633,01:00:00,B,15,29.231,no_RNAse,,H6,guide with 2Cs,b
634,634,01:00:00,C,15,1680.7879999999998,no_target,,H6,guide with 2Cs,b
635,635,01:00:00,D,15,8.769,no_gRNA,,H6,guide with 2Cs,b
636,636,01:00:00,E,15,157.84799999999996,standard,0.078125,standard,standard,a
637,637,01:00:00,F,15,149.079,standard,0.078125,standard,standard,b
638,638,01:00:00,G,15,122.771,standard,0.078125,standard,standard,c
639,639,01:00:00,H,15,2.923,no_sample,,,,d
640,640,01:00:00,A,17,1046.473,target_added,,C4,guide with 3Cs,b
641,641,01:00:00,B,17,8.769,no_RNAse,,C4,guide with 3Cs,b
642,642,01:00:00,C,17,1122.474,no_target,,C4,guide with 3Cs,b
643,643,01:00:00,D,17,14.616,no_gRNA,,C4,guide with 3Cs,b
644,644,01:00:00,E,17,99.386,standard,0.0390625,standard,standard,a
645,645,01:00:00,F,17,114.001,standard,0.0390625,standard,standard,b
646,646,01:00:00,G,17,90.616,standard,0.0390625,standard,standard,c
647,647,01:00:00,H,17,0.0,no_sample,,,,d
648,648,01:00:00,A,19,2753.57,target_added,,D9,guide with 3Cs,b
649,649,01:00:00,B,19,2.923,no_RNAse,,D9,guide with 3Cs,b
650,650,01:00:00,C,19,1537.556,no_target,,D9,guide with 3Cs,b
651,651,01:00:00,D,19,5.846,no_gRNA,,D9,guide with 3Cs,b
652,652,01:00:00,E,19,90.616,standard,0.0195312,standard,standard,a
653,653,01:00:00,F,19,102.309,standard,0.0195312,standard,standard,b
654,654,01:00:00,G,19,108.155,standard,0.0195312,standard,standard,c
655,655,01:00:00,H,19,2.923,no_sample,,,,d
656,656,01:00:00,A,21,786.317,target_added,,C11,IVT guide,b
657,657,01:00:00,B,21,0.0,no_RNAse,,C11,IVT guide,b
658,658,01:00:00,C,21,762.932,no_target,,C11,IVT guide,b
659,659,01:00:00,D,21,5.846,no_gRNA,,C11,IVT guide,b
660,660,01:00:00,E,21,99.386,standard,0.0097656,standard,standard,a
661,661,01:00:00,F,21,99.386,standard,0.0097656,standard,standard,b
662,662,01:00:00,G,21,140.309,standard,0.0097656,standard,standard,c
663,663,01:00:00,H,21,0.0,no_sample,,,,d
664,664,01:00:00,A,23,2.923,target_added,,C11_syn,synthetic guide,b
665,665,01:00:00,B,23,0.0,no_RNAse,,C11_syn,synthetic guide,b
666,666,01:00:00,C,23,5.846,no_target,,C11_syn,synthetic guide,b
667,667,01:00:00,D,23,2.923,no_gRNA,,C11_syn,synthetic guide,b
668,668,01:00:00,E,23,116.924,standard,0,standard,standard,a
669,669,01:00:00,F,23,81.847,standard,0,standard,standard,b
670,670,01:00:00,G,23,73.078,standard,0,standard,standard,c
671,671,01:00:00,H,23,8.769,no_sample,,,,d
